Name: 江苏卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.135:8028, Date: None, Resolution: None, Response Time: 582ms
Name: 江苏卫视, URL: http://222.240.82.92:9901/tsfile/live/0127_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 617ms
Name: 东方卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.136:8032, Date: None, Resolution: None, Response Time: 546ms
Name: 东方卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.136:8032, Date: None, Resolution: None, Response Time: 546ms
Name: 东方卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.136:8032, Date: None, Resolution: None, Response Time: 574ms
Name: 北京卫视高清, URL: http://118.112.148.247:58888/rtp/239.93.0.180:5140, Date: None, Resolution: None, Response Time: 520ms
Name: 北京卫视高清, URL: http://110.191.246.168:4022/rtp/239.93.0.180:5140, Date: None, Resolution: None, Response Time: 539ms
Name: 北京卫视高清, URL: http://ayolee.com:5253/rtp/239.93.0.180:5140, Date: None, Resolution: None, Response Time: 691ms
Name: 北京卫视高清, URL: http://125.71.134.36:8466/rtp/239.93.0.180:5140, Date: None, Resolution: None, Response Time: 968ms
Name: 北京卫视高清, URL: http://125.70.82.101:5555/rtp/239.93.0.180:5140, Date: None, Resolution: None, Response Time: 1110ms
Name: 山东卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.209:8052, Date: None, Resolution: None, Response Time: 543ms
Name: 山东卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.209:8052, Date: None, Resolution: None, Response Time: 545ms
Name: 山东卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.209:8052, Date: None, Resolution: None, Response Time: 597ms
Name: 安徽卫视, URL: http://115.149.139.141:10001/tsfile/live/1025_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 502ms
Name: 安徽卫视, URL: http://222.129.32.10:8888/rtp/239.3.1.211:8064, Date: None, Resolution: None, Response Time: 544ms
Name: 安徽卫视, URL: http://111.197.224.161:4022/rtp/239.3.1.211:8064, Date: None, Resolution: None, Response Time: 546ms
Name: 安徽卫视, URL: http://123.113.237.79:8888/rtp/239.3.1.211:8064, Date: None, Resolution: None, Response Time: 574ms
Name: 湖北卫视, URL: http://115.149.139.141:10001/tsfile/live/1027_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 502ms
